,0
solar109,16
Misae Solar,15
Zier Solar,5
solar509,4
Ponwar Solar Farm,3
El Zorro Solar,2
Danish Fields III,1
Prickly Pear,1
Eunice Solar,1
solar435,1
solar438,1
Samson Solar,1
Delilah Solar 1,1
Angelina Solar,1
IP Titan,1
Quantum,1
Normande Solar Farm,1
